42935,WildinWV,1.28495E+18,"So, I finally got my COVID test back ( took almost 2 weeks)  I   tested   Positive  for Antibodies and Negative for COVID at the time of my test.  I was sick in mid Feb and Flu test came back Negative.  Makes sense Now  . Wear your Mask People!!  ",https://twitter.com/WildinWV/status/1284953127444193281,0,5,1,7/19/2020 15:47,FALSE,FALSE,1.2415E+18
42937,keratx,1.28495E+18,"Report: 85 Babies Under 1 Year Old In Nueces County Have  Tested   Positive  For COVID-19
Via @TexasTribune  I  https:// buff.ly/3heKUTb   pic.twitter.com/o6STNiu0pe",https://twitter.com/keratx/status/1284953012939694080,0,0,0,7/19/2020 15:47,FALSE,FALSE,14704444
43090,AbsGarrison,1.28494E+18,"I started feeling sick last Wednesday,  tested  for COVID on Friday, came back  positive  and let me say this... I still feel like shit... wildest part I have ZERO taste or smell abilities",https://twitter.com/AbsGarrison/status/1284936746225065987,3,3,5,7/19/2020 14:42,FALSE,FALSE,384939577
43142,hijackurbitch,1.28493E+18,Just  tested   positive  for COVID-19 so if you have been around me the past few weeks I urge you to get  tested  please especially if you are around any immunocompromised people. I only have very mild symptoms (loss of taste and smell) but will update if it gets any worse.,https://twitter.com/hijackurbitch/status/1284931513914712068,0,3,2,7/19/2020 14:22,FALSE,FALSE,2597019750
43280,uwubunzz,1.28492E+18,"Someone I personally know just got  tested   positive  for corona virus. Everyone, please do your part and wear a fucking mask for fucks sake...",https://twitter.com/uwubunzz/status/1284917785953370112,0,6,0,7/19/2020 13:27,FALSE,FALSE,35851408
43286,XOtesfaye,1.28492E+18,just got my results!  i   tested  NEGATIVE for covid but  POSITIVE  for badbitchsyndrome ,https://twitter.com/XOtesfaye/status/1284917046657142785,3,51,3,7/19/2020 13:24,FALSE,FALSE,546992021
43558,dddaily5,1.28489E+18,"Apparently I did have COVID,  I   tested   positive  for the antibodies & I never showed a sign of the virus. In my life I have had fevers of over 104 twice and fully recover within days. I guess I should have made a bigger deal about things so people could tell me how brave I was ",https://twitter.com/dddaily5/status/1284890710504804352,1,2,1,7/19/2020 11:39,TRUE,FALSE,1.21465E+18
43723,Tebogo_World,1.28487E+18,"Her : eish  I   tested   positive  for covid 19

Him: kere o satla naa...??

 Majita  pic.twitter.com/2dtAjFXVuY",https://twitter.com/Tebogo_World/status/1284874598815858688,0,1,0,7/19/2020 10:35,FALSE,FALSE,416913832
43768,nayak198133,1.28487E+18,@ BrahmapurCorp  @Ganjam_Admin  sir my elder brother expired yesterday. He was complaining of fever and cough.  Tested   positive  for typhoid. I have completed his last rights . Since than I feel fever and weekness . How can I go for the test for covid 19 here in Berhampur.,https://twitter.com/nayak198133/status/1284870476519505922,0,0,1,7/19/2020 10:19,FALSE,FALSE,267641396
43902,DEricsonPR,1.28485E+18,How is your daughter doing? Sending continued prayers for her full recovery.  I   tested   positive  for covid19 antibodies so I will donate my plasma for vaccines efforts,https://twitter.com/DEricsonPR/status/1284853877792178177,0,1,1,7/19/2020 9:13,TRUE,FALSE,17227154
