twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1128451923445633024,Elizabe55157007,Wed May 15 00:07:58 +0000 2019,False,,35,305,4156,4811
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 04:11:20,"@KeeAliMalcolm @glangendorf01 more discouraged, more distraught than ever. I had Covid-19 &amp; spent over a month in my bedroom trying not to get my daughter sick. Luckily I have a job I could do from my bed. On top of 4 terrible years of Trump, Covid is just too much, then #GeorgeFloydWasMurdered",0,1,https://twitter.com/Elizabe55157007/status/1265858167981764610
2020-05-15 00:00:49,"@storm_truth @RepDianaDeGette Do you people even know what you are arguing about any more? I had Covid-19 for over a month. I could not get a test, I lucked out and found a local Urgent Care that was testing. Their tests ran out in one day. It cost me $150. Luckily I still have a job, and savings.  In my job",0,0,https://twitter.com/Elizabe55157007/status/1261084081741156352
2020-04-25 17:30:56,@yashar I know someone that happened to. Right away I thought it was Covid-19 related.,0,0,https://twitter.com/Elizabe55157007/status/1254100596333752321
2020-04-24 03:55:02,"@SHMILY_1 @KyleClark Well, clearly it was a joke. But, a joke born of desperation. Who can watch Trump for even 5 minutes at these Covid-19 updates and think, ""That's my guy!"" Who lives among law abiding hardworking Mexicans, and chants ""Build That Wall!"" Who watches Kaepernick kneel in protest and",0,0,https://twitter.com/Elizabe55157007/status/1253532880782807041
2020-04-09 19:05:10,@rankesthearsay @isbabee I got my test back today - positive for Covid-19 and para influenza. Have you heard anything?,0,1,https://twitter.com/Elizabe55157007/status/1248326102524628992
cancer
2020-05-25 03:33:59,@ChuckWendig colon cancer - 8 inches,0,0,https://twitter.com/Elizabe55157007/status/1264761606619099139
tested positive
2020-05-22 03:15:05,"@chubbalug @ZackNewsMan @9NEWS I already tested positive. This was my test to confirm I was negative. And, yes, I was. Good thing I wasn't waiting on it so I could return to work!",0,3,https://twitter.com/Elizabe55157007/status/1263669686299815938
2020-04-12 23:08:14,"@rankesthearsay @isbabee So my neighbor, who also tested positive, wants my daughter to come to their house and babysit. I haven't even gotten to hug my daughter in 3 weeks and she wants me to send her there?! People amaze me.",0,1,https://twitter.com/Elizabe55157007/status/1249474436106833920
2020-04-09 22:23:29,@jaketapper I have been in the house since March 24 - 16 days. Tested positive today.,0,0,https://twitter.com/Elizabe55157007/status/1248376011537833985
sore throat
