twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
792806151956074496,tweetertwitfan,Sun Oct 30 19:11:31 +0000 2016,False,,36,194,2808,697
 
created_at,full_text,retweet_count,favorite_count,twitter_url
smell
2020-05-08 13:15:07,"@AngrierWHStaff @soulscarred71 Forgot to mention how long the loss of smell and taste lasted: 16 days. Wheezing is still existent, even after using an inhaler the MD told me to try. Follow-up appointment with him today to see what the next plan of action should be.",1,1,https://twitter.com/tweetertwitfan/status/1258747258767585280
2020-05-07 01:24:35,"@AngrierWHStaff @soulscarred71 I tested positive nearly two months ago. Seemingly asymptomatic with the exception of complete loss of smell and taste. During and after covid, I have wheezing with minimal to no exertion. I’m an otherwise healthy 26 y.o. Asked my MD if it has a lasting impact on lungs post covid",21,162,https://twitter.com/tweetertwitfan/status/1258206059396845568
taste
2020-05-08 13:15:07,"@AngrierWHStaff @soulscarred71 Forgot to mention how long the loss of smell and taste lasted: 16 days. Wheezing is still existent, even after using an inhaler the MD told me to try. Follow-up appointment with him today to see what the next plan of action should be.",1,1,https://twitter.com/tweetertwitfan/status/1258747258767585280
inhaler
2020-05-08 13:15:07,"@AngrierWHStaff @soulscarred71 Forgot to mention how long the loss of smell and taste lasted: 16 days. Wheezing is still existent, even after using an inhaler the MD told me to try. Follow-up appointment with him today to see what the next plan of action should be.",1,1,https://twitter.com/tweetertwitfan/status/1258747258767585280
tested positive
2020-05-07 01:24:35,"@AngrierWHStaff @soulscarred71 I tested positive nearly two months ago. Seemingly asymptomatic with the exception of complete loss of smell and taste. During and after covid, I have wheezing with minimal to no exertion. I’m an otherwise healthy 26 y.o. Asked my MD if it has a lasting impact on lungs post covid",21,162,https://twitter.com/tweetertwitfan/status/1258206059396845568
asymptomatic
2020-05-07 01:24:35,"@AngrierWHStaff @soulscarred71 I tested positive nearly two months ago. Seemingly asymptomatic with the exception of complete loss of smell and taste. During and after covid, I have wheezing with minimal to no exertion. I’m an otherwise healthy 26 y.o. Asked my MD if it has a lasting impact on lungs post covid",21,162,https://twitter.com/tweetertwitfan/status/1258206059396845568
